transaction_id,timestamp,customer_id,product_name,category,quantity,unit_price,total,payment_method,status
TXN-0001,2025-01-01T01:50:21,CUST-1063,Phone Case,electronics,2,24.99,49.98,credit_card,completed
TXN-0002,2025-01-01T02:02:41,CUST-1198,Desk Lamp,home,1,44.99,44.99,credit_card,completed
TXN-0003,2025-01-01T02:14:43,CUST-1148,Desk Lamp,home,3,44.99,134.97,crypto,completed
TXN-0004,2025-01-01T03:56:16,CUST-1046,Desk Lamp,home,3,44.99,134.97,credit_card,completed
TXN-0005,2025-01-01T05:47:59,CUST-1086,Novel Bestseller,books,3,14.99,44.97,paypal,completed
TXN-0006,2025-01-01T06:59:12,CUST-1190,USB-C Cable,electronics,2,12.99,25.98,crypto,completed
TXN-0007,2025-01-01T09:18:13,CUST-1111,Novel Bestseller,books,1,14.99,14.99,paypal,completed
TXN-0008,2025-01-01T09:28:23,CUST-1195,Yoga Mat,sports,1,34.99,34.99,credit_card,completed
TXN-0009,2025-01-01T11:19:11,CUST-1055,Water Bottle,sports,3,19.99,59.97,debit_card,completed
TXN-0010,2025-01-01T11:50:04,CUST-1089,Running Shoes,sports,2,89.99,179.98,paypal,completed
TXN-0011,2025-01-01T20:32:36,CUST-1062,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0012,2025-01-01T21:24:54,CUST-1189,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0013,2025-01-02T01:08:45,CUST-1086,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0014,2025-01-02T01:35:18,CUST-1179,Phone Case,electronics,2,24.99,49.98,crypto,completed
TXN-0015,2025-01-02T02:41:36,CUST-1060,Denim Jeans,clothing,2,59.99,119.98,credit_card,completed
TXN-0016,2025-01-02T04:09:51,CUST-1145,Yoga Mat,sports,1,34.99,34.99,credit_card,completed
TXN-0017,2025-01-02T05:14:51,CUST-1133,Wireless Headphones,electronics,3,79.99,239.97,credit_card,completed
TXN-0018,2025-01-02T06:53:26,CUST-1100,Programming Guide,books,2,39.99,79.98,paypal,completed
TXN-0019,2025-01-02T07:31:24,CUST-1029,Running Shoes,sports,1,89.99,89.99,debit_card,completed
TXN-0020,2025-01-02T09:31:07,CUST-1025,Running Shoes,sports,2,89.99,179.98,credit_card,completed
TXN-0021,2025-01-02T09:58:53,CUST-1121,Coffee Maker,home,2,69.99,139.98,crypto,completed
TXN-0022,2025-01-02T13:01:29,CUST-1020,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0023,2025-01-02T15:54:25,CUST-1110,Throw Pillow,home,1,22.99,22.99,paypal,completed
TXN-0024,2025-01-02T18:41:43,CUST-1166,Cotton T-Shirt,clothing,3,29.99,89.97,credit_card,refunded
TXN-0025,2025-01-02T18:55:14,CUST-1190,Phone Case,electronics,1,24.99,24.99,debit_card,completed
TXN-0026,2025-01-02T19:04:15,CUST-1162,Throw Pillow,home,3,22.99,68.97,credit_card,completed
TXN-0027,2025-01-02T21:57:33,CUST-1058,Throw Pillow,home,1,22.99,22.99,credit_card,completed
TXN-0028,2025-01-03T01:10:50,CUST-1079,Desk Lamp,home,2,44.99,89.98,debit_card,completed
TXN-0029,2025-01-03T02:20:38,CUST-1038,USB-C Cable,electronics,1,12.99,12.99,debit_card,completed
TXN-0030,2025-01-03T07:10:26,CUST-1125,Winter Jacket,clothing,1,129.99,129.99,credit_card,completed
TXN-0031,2025-01-03T07:55:06,CUST-1098,Yoga Mat,sports,1,34.99,34.99,credit_card,completed
TXN-0032,2025-01-03T08:09:24,CUST-1183,Novel Bestseller,books,2,14.99,29.98,paypal,completed
TXN-0033,2025-01-03T08:28:42,CUST-1109,Winter Jacket,clothing,2,129.99,259.98,credit_card,completed
TXN-0034,2025-01-03T09:32:42,CUST-1163,Desk Lamp,home,1,44.99,44.99,crypto,completed
TXN-0035,2025-01-03T09:35:24,CUST-1165,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0036,2025-01-03T10:38:49,CUST-1158,Desk Lamp,home,1,44.99,44.99,crypto,completed
TXN-0037,2025-01-03T11:14:01,CUST-1082,Programming Guide,books,1,39.99,39.99,paypal,completed
TXN-0038,2025-01-03T14:51:55,CUST-1141,USB-C Cable,electronics,1,12.99,12.99,debit_card,completed
TXN-0039,2025-01-03T14:54:23,CUST-1024,Denim Jeans,clothing,2,59.99,119.98,credit_card,completed
TXN-0040,2025-01-03T16:15:17,CUST-1172,Winter Jacket,clothing,1,129.99,129.99,credit_card,completed
TXN-0041,2025-01-03T20:50:56,CUST-1197,USB-C Cable,electronics,1,12.99,12.99,crypto,completed
TXN-0042,2025-01-03T21:59:17,CUST-1140,Desk Lamp,home,2,44.99,89.98,credit_card,completed
TXN-0043,2025-01-03T23:29:40,CUST-1171,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0044,2025-01-04T01:14:13,CUST-1178,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0045,2025-01-04T06:29:44,CUST-1066,Novel Bestseller,books,1,14.99,14.99,debit_card,completed
TXN-0046,2025-01-04T08:46:23,CUST-1196,Cotton T-Shirt,clothing,1,29.99,29.99,credit_card,completed
TXN-0047,2025-01-04T09:15:03,CUST-1062,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0048,2025-01-04T10:18:29,CUST-1165,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0049,2025-01-04T11:27:26,CUST-1120,Cookbook,books,2,24.99,49.98,paypal,completed
TXN-0050,2025-01-04T11:40:57,CUST-1118,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0051,2025-01-04T11:51:08,CUST-1143,Wireless Headphones,electronics,1,79.99,79.99,debit_card,completed
TXN-0052,2025-01-04T14:06:33,CUST-1117,Wireless Headphones,electronics,2,79.99,159.98,credit_card,completed
TXN-0053,2025-01-04T14:42:33,CUST-1144,Desk Lamp,home,1,44.99,44.99,crypto,completed
TXN-0054,2025-01-04T15:28:49,CUST-1093,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0055,2025-01-04T17:48:17,CUST-1197,Throw Pillow,home,1,22.99,22.99,credit_card,completed
TXN-0056,2025-01-05T00:05:47,CUST-1136,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0057,2025-01-05T07:53:00,CUST-1194,Wireless Headphones,electronics,3,79.99,239.97,credit_card,completed
TXN-0058,2025-01-05T08:46:56,CUST-1031,Novel Bestseller,books,2,14.99,29.98,credit_card,completed
TXN-0059,2025-01-05T11:23:28,CUST-1196,USB-C Cable,electronics,1,12.99,12.99,debit_card,completed
TXN-0060,2025-01-05T14:11:57,CUST-1183,Winter Jacket,clothing,3,129.99,389.97,paypal,refunded
TXN-0061,2025-01-06T02:38:04,CUST-1173,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0062,2025-01-06T08:33:55,CUST-1156,Cotton T-Shirt,clothing,3,29.99,89.97,debit_card,completed
TXN-0063,2025-01-06T12:00:24,CUST-1068,Programming Guide,books,2,39.99,79.98,credit_card,completed
TXN-0064,2025-01-06T13:41:59,CUST-1122,Winter Jacket,clothing,2,129.99,259.98,crypto,refunded
TXN-0065,2025-01-06T13:56:53,CUST-1046,Programming Guide,books,3,39.99,119.97,credit_card,completed
TXN-0066,2025-01-06T14:26:30,CUST-1119,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0067,2025-01-06T14:53:34,CUST-1181,Yoga Mat,sports,2,34.99,69.98,paypal,completed
TXN-0068,2025-01-06T15:22:33,CUST-1133,Novel Bestseller,books,2,14.99,29.98,credit_card,completed
TXN-0069,2025-01-06T19:54:40,CUST-1104,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0070,2025-01-06T22:06:24,CUST-1010,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0071,2025-01-06T23:55:59,CUST-1075,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0072,2025-01-07T02:57:06,CUST-1036,Novel Bestseller,books,1,14.99,14.99,paypal,completed
TXN-0073,2025-01-07T05:31:32,CUST-1120,Winter Jacket,clothing,2,129.99,259.98,debit_card,completed
TXN-0074,2025-01-07T05:38:09,CUST-1195,Novel Bestseller,books,2,14.99,29.98,credit_card,refunded
TXN-0075,2025-01-07T06:17:48,CUST-1181,Novel Bestseller,books,2,14.99,29.98,debit_card,completed
TXN-0076,2025-01-07T08:42:05,CUST-1041,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0077,2025-01-07T09:36:50,CUST-1078,Coffee Maker,home,2,69.99,139.98,credit_card,completed
TXN-0078,2025-01-07T12:54:30,CUST-1028,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0079,2025-01-07T13:32:49,CUST-1157,Programming Guide,books,1,39.99,39.99,paypal,completed
TXN-0080,2025-01-07T16:16:08,CUST-1090,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0081,2025-01-07T17:28:08,CUST-1109,Phone Case,electronics,1,24.99,24.99,credit_card,completed
TXN-0082,2025-01-07T18:09:48,CUST-1183,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0083,2025-01-07T18:34:09,CUST-1043,Water Bottle,sports,2,19.99,39.98,credit_card,completed
TXN-0084,2025-01-07T19:32:47,CUST-1035,Cookbook,books,1,24.99,24.99,crypto,completed
TXN-0085,2025-01-07T21:15:42,CUST-1027,Water Bottle,sports,2,19.99,39.98,credit_card,refunded
TXN-0086,2025-01-07T21:40:54,CUST-1068,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0087,2025-01-07T22:37:31,CUST-1024,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0088,2025-01-08T00:04:45,CUST-1162,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0089,2025-01-08T01:15:05,CUST-1112,USB-C Cable,electronics,1,12.99,12.99,debit_card,completed
TXN-0090,2025-01-08T03:22:54,CUST-1143,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0091,2025-01-08T05:29:24,CUST-1070,Throw Pillow,home,2,22.99,45.98,credit_card,completed
TXN-0092,2025-01-08T05:51:44,CUST-1133,Winter Jacket,clothing,1,129.99,129.99,credit_card,completed
TXN-0093,2025-01-08T09:21:10,CUST-1097,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0094,2025-01-08T09:54:45,CUST-1037,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0095,2025-01-08T10:38:20,CUST-1157,Programming Guide,books,1,3.99,3.99,debit_card,completed
TXN-0096,2025-01-08T10:49:10,CUST-1020,Denim Jeans,clothing,2,59.99,119.98,debit_card,completed
TXN-0097,2025-01-08T13:31:03,CUST-1037,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0098,2025-01-08T13:37:25,CUST-1135,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0099,2025-01-08T13:38:39,CUST-1124,Programming Guide,books,2,3.99,7.98,credit_card,completed
TXN-0100,2025-01-08T13:40:50,CUST-1160,Winter Jacket,clothing,1,129.99,129.99,debit_card,completed
TXN-0101,2025-01-08T14:28:46,CUST-1108,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0102,2025-01-08T14:48:17,CUST-1085,Yoga Mat,sports,1,34.99,34.99,debit_card,completed
TXN-0103,2025-01-08T15:01:23,CUST-1142,Desk Lamp,home,1,44.99,44.99,debit_card,completed
TXN-0104,2025-01-08T15:01:39,CUST-1144,Water Bottle,sports,3,19.99,59.97,credit_card,completed
TXN-0105,2025-01-08T16:43:28,CUST-1003,Wireless Headphones,electronics,2,79.99,159.98,credit_card,refunded
TXN-0106,2025-01-08T19:51:22,CUST-1057,Throw Pillow,home,1,22.99,22.99,credit_card,completed
TXN-0107,2025-01-08T21:45:42,CUST-1164,Programming Guide,books,2,3.99,7.98,credit_card,completed
TXN-0108,2025-01-08T22:10:19,CUST-1142,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0109,2025-01-08T22:14:19,CUST-1176,Cookbook,books,2,24.99,49.98,paypal,refunded
TXN-0110,2025-01-08T22:38:45,CUST-1053,Cotton T-Shirt,clothing,3,29.99,89.97,debit_card,completed
TXN-0111,2025-01-09T02:49:17,CUST-1090,Throw Pillow,home,1,22.99,22.99,paypal,refunded
TXN-0112,2025-01-09T05:16:58,CUST-1124,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0113,2025-01-09T05:37:27,CUST-1163,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0114,2025-01-09T06:42:45,CUST-1081,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0115,2025-01-09T07:34:18,CUST-1044,Novel Bestseller,books,1,14.99,14.99,crypto,completed
TXN-0116,2025-01-09T09:17:31,CUST-1038,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0117,2025-01-09T09:20:07,CUST-1002,Winter Jacket,clothing,2,129.99,259.98,credit_card,completed
TXN-0118,2025-01-09T10:28:04,CUST-1009,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0119,2025-01-09T10:46:00,CUST-1180,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0120,2025-01-09T11:17:50,CUST-1102,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0121,2025-01-09T13:31:01,CUST-1100,Water Bottle,sports,2,19.99,39.98,credit_card,completed
TXN-0122,2025-01-09T15:02:05,CUST-1015,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0123,2025-01-09T15:07:52,CUST-1017,Cotton T-Shirt,clothing,1,29.99,29.99,debit_card,completed
TXN-0124,2025-01-09T16:04:16,CUST-1183,Desk Lamp,home,2,44.99,89.98,debit_card,completed
TXN-0125,2025-01-09T17:18:01,CUST-1129,Cookbook,books,2,24.99,49.98,credit_card,completed
TXN-0126,2025-01-09T17:54:51,CUST-1100,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0127,2025-01-09T18:02:48,CUST-1194,Phone Case,electronics,1,24.99,24.99,paypal,completed
TXN-0128,2025-01-09T19:44:56,CUST-1071,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0129,2025-01-09T20:07:54,CUST-1135,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0130,2025-01-09T20:08:44,CUST-1034,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0131,2025-01-09T21:00:57,CUST-1120,Yoga Mat,sports,2,34.99,69.98,credit_card,completed
TXN-0132,2025-01-09T22:28:13,CUST-1157,Yoga Mat,sports,2,34.99,69.98,debit_card,completed
TXN-0133,2025-01-09T22:51:54,CUST-1083,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0134,2025-01-09T22:59:43,CUST-1166,USB-C Cable,electronics,2,12.99,25.98,credit_card,completed
TXN-0135,2025-01-10T01:14:25,CUST-1154,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0136,2025-01-10T02:32:58,CUST-1053,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0137,2025-01-10T03:32:49,CUST-1139,Cookbook,books,2,24.99,49.98,debit_card,completed
TXN-0138,2025-01-10T03:53:12,CUST-1076,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0139,2025-01-10T07:19:49,CUST-1074,Coffee Maker,home,1,69.99,69.99,paypal,completed
TXN-0140,2025-01-10T07:51:12,CUST-1038,Wireless Headphones,electronics,1,79.99,79.99,debit_card,completed
TXN-0141,2025-01-10T08:14:07,CUST-1185,Running Shoes,sports,1,89.99,89.99,crypto,completed
TXN-0142,2025-01-10T11:15:44,CUST-1018,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0143,2025-01-10T11:42:37,CUST-1045,Programming Guide,books,1,3.99,3.99,paypal,completed
TXN-0144,2025-01-10T11:55:49,CUST-1013,Cookbook,books,2,24.99,49.98,credit_card,completed
TXN-0145,2025-01-10T12:29:34,CUST-1167,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0146,2025-01-10T14:02:37,CUST-1094,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0147,2025-01-10T14:20:59,CUST-1193,USB-C Cable,electronics,1,12.99,12.99,debit_card,refunded
TXN-0148,2025-01-10T14:56:44,CUST-1125,USB-C Cable,electronics,1,12.99,12.99,paypal,completed
TXN-0149,2025-01-10T15:15:51,CUST-1176,Cotton T-Shirt,clothing,1,29.99,29.99,credit_card,completed
TXN-0150,2025-01-10T16:25:52,CUST-1140,Winter Jacket,clothing,1,129.99,129.99,crypto,completed
TXN-0151,2025-01-10T17:36:09,CUST-1145,Programming Guide,books,3,3.99,11.97,debit_card,completed
TXN-0152,2025-01-10T18:21:32,CUST-1131,Denim Jeans,clothing,1,59.99,59.99,debit_card,completed
TXN-0153,2025-01-10T18:27:19,CUST-1146,Desk Lamp,home,1,44.99,44.99,paypal,completed
TXN-0154,2025-01-10T19:19:22,CUST-1027,Desk Lamp,home,1,44.99,44.99,credit_card,completed
TXN-0155,2025-01-10T20:47:44,CUST-1092,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0156,2025-01-10T21:25:52,CUST-1195,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0157,2025-01-11T07:07:01,CUST-1189,Phone Case,electronics,1,24.99,24.99,credit_card,completed
TXN-0158,2025-01-11T08:21:58,CUST-1158,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0159,2025-01-11T10:21:47,CUST-1020,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0160,2025-01-11T11:09:43,CUST-1122,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0161,2025-01-11T13:34:24,CUST-1026,Programming Guide,books,2,3.99,7.98,debit_card,completed
TXN-0162,2025-01-11T14:58:34,CUST-1088,Denim Jeans,clothing,1,59.99,59.99,crypto,completed
TXN-0163,2025-01-11T17:06:21,CUST-1078,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0164,2025-01-11T17:24:29,CUST-1083,Cookbook,books,1,24.99,24.99,paypal,completed
TXN-0165,2025-01-11T18:38:05,CUST-1014,Phone Case,electronics,1,24.99,24.99,debit_card,completed
TXN-0166,2025-01-11T19:08:38,CUST-1097,Phone Case,electronics,1,24.99,24.99,paypal,completed
